UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_0,0.000000e+00,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_1,4.687500e-05,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_2,9.375000e-05,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_3,1.406250e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_4,1.875000e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_5,2.343750e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_6,2.812500e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_7,3.281250e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_8,3.750000e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_9,4.218750e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_10,4.687500e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_11,5.156250e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_12,5.625000e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_13,6.093750e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_14,6.562500e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_15,7.031250e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_16,7.500000e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_17,7.968750e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_18,8.437500e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_19,8.906250e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_20,9.375000e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_21,9.843750e-04,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_22,1.031250e-03,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_23,1.078125e-03,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_24,1.125000e-03,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_25,1.171875e-03,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_26,1.218750e-03,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_27,1.265625e-03,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_28,1.312500e-03,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_29,1.359375e-03,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_30,1.406250e-03,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_31,1.453125e-03,0.000000e+00,4.687500e-05,4.687500e-05,,Si
unit_32,0.000000e+00,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_33,4.687500e-05,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_34,9.375000e-05,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_35,1.406250e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_36,1.875000e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_37,2.343750e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_38,2.812500e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_39,3.281250e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_40,3.750000e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_41,4.218750e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_42,4.687500e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_43,5.156250e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_44,5.625000e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_45,6.093750e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_46,6.562500e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_47,7.031250e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_48,7.500000e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_49,7.968750e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_50,8.437500e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_51,8.906250e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_52,9.375000e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_53,9.843750e-04,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_54,1.031250e-03,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_55,1.078125e-03,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_56,1.125000e-03,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_57,1.171875e-03,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_58,1.218750e-03,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_59,1.265625e-03,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_60,1.312500e-03,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_61,1.359375e-03,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_62,1.406250e-03,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_63,1.453125e-03,4.687500e-05,4.687500e-05,4.687500e-05,,Si
unit_64,0.000000e+00,9.375000e-05,4.687500e-05,4.687500e-05,,Si
