UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_0,0.000000e+00,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_1,6.250000e-06,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_2,1.250000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_3,1.875000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_4,2.500000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_5,3.125000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_6,3.750000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_7,4.375000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_8,5.000000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_9,5.625000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_10,6.250000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_11,6.875000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_12,7.500000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_13,8.125000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_14,8.750000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_15,9.375000e-05,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_16,1.000000e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_17,1.062500e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_18,1.125000e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_19,1.187500e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_20,1.250000e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_21,1.312500e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_22,1.375000e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_23,1.437500e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_24,1.500000e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_25,1.562500e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_26,1.625000e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_27,1.687500e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_28,1.750000e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_29,1.812500e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_30,1.875000e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_31,1.937500e-04,0.000000e+00,6.250000e-06,6.250000e-06,,Si
unit_32,0.000000e+00,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_33,6.250000e-06,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_34,1.250000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_35,1.875000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_36,2.500000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_37,3.125000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_38,3.750000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_39,4.375000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_40,5.000000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_41,5.625000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_42,6.250000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_43,6.875000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_44,7.500000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_45,8.125000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_46,8.750000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_47,9.375000e-05,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_48,1.000000e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_49,1.062500e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_50,1.125000e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_51,1.187500e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_52,1.250000e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_53,1.312500e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_54,1.375000e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_55,1.437500e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_56,1.500000e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_57,1.562500e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_58,1.625000e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_59,1.687500e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_60,1.750000e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_61,1.812500e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_62,1.875000e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_63,1.937500e-04,6.250000e-06,6.250000e-06,6.250000e-06,,Si
unit_64,0.000000e+00,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_65,6.250000e-06,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_66,1.250000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_67,1.875000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_68,2.500000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_69,3.125000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_70,3.750000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_71,4.375000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_72,5.000000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_73,5.625000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_74,6.250000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_75,6.875000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_76,7.500000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_77,8.125000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_78,8.750000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_79,9.375000e-05,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_80,1.000000e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_81,1.062500e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_82,1.125000e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_83,1.187500e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_84,1.250000e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_85,1.312500e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_86,1.375000e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_87,1.437500e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_88,1.500000e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_89,1.562500e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_90,1.625000e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_91,1.687500e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_92,1.750000e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_93,1.812500e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_94,1.875000e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_95,1.937500e-04,1.250000e-05,6.250000e-06,6.250000e-06,,Si
unit_96,0.000000e+00,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_97,6.250000e-06,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_98,1.250000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_99,1.875000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_100,2.500000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_101,3.125000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_102,3.750000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_103,4.375000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_104,5.000000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_105,5.625000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_106,6.250000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_107,6.875000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_108,7.500000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_109,8.125000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_110,8.750000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_111,9.375000e-05,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_112,1.000000e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_113,1.062500e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_114,1.125000e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_115,1.187500e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_116,1.250000e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_117,1.312500e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_118,1.375000e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_119,1.437500e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_120,1.500000e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_121,1.562500e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_122,1.625000e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_123,1.687500e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_124,1.750000e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_125,1.812500e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_126,1.875000e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_127,1.937500e-04,1.875000e-05,6.250000e-06,6.250000e-06,,Si
unit_128,0.000000e+00,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_129,6.250000e-06,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_130,1.250000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_131,1.875000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_132,2.500000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_133,3.125000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_134,3.750000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_135,4.375000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_136,5.000000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_137,5.625000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_138,6.250000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_139,6.875000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_140,7.500000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_141,8.125000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_142,8.750000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_143,9.375000e-05,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_144,1.000000e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_145,1.062500e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_146,1.125000e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_147,1.187500e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_148,1.250000e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_149,1.312500e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_150,1.375000e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_151,1.437500e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_152,1.500000e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_153,1.562500e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_154,1.625000e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_155,1.687500e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_156,1.750000e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_157,1.812500e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_158,1.875000e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_159,1.937500e-04,2.500000e-05,6.250000e-06,6.250000e-06,,Si
unit_160,0.000000e+00,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_161,6.250000e-06,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_162,1.250000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_163,1.875000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_164,2.500000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_165,3.125000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_166,3.750000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_167,4.375000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_168,5.000000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_169,5.625000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_170,6.250000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_171,6.875000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_172,7.500000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_173,8.125000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_174,8.750000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_175,9.375000e-05,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_176,1.000000e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_177,1.062500e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_178,1.125000e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_179,1.187500e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_180,1.250000e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_181,1.312500e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_182,1.375000e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_183,1.437500e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_184,1.500000e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_185,1.562500e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_186,1.625000e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_187,1.687500e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_188,1.750000e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_189,1.812500e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_190,1.875000e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_191,1.937500e-04,3.125000e-05,6.250000e-06,6.250000e-06,,Si
unit_192,0.000000e+00,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_193,6.250000e-06,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_194,1.250000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_195,1.875000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_196,2.500000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_197,3.125000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_198,3.750000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_199,4.375000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_200,5.000000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_201,5.625000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_202,6.250000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_203,6.875000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_204,7.500000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_205,8.125000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_206,8.750000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_207,9.375000e-05,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_208,1.000000e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_209,1.062500e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_210,1.125000e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_211,1.187500e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_212,1.250000e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_213,1.312500e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_214,1.375000e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_215,1.437500e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_216,1.500000e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_217,1.562500e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_218,1.625000e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_219,1.687500e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_220,1.750000e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_221,1.812500e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_222,1.875000e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
unit_223,1.937500e-04,3.750000e-05,6.250000e-06,6.250000e-06,,Si
