IP ID,IP Name,Flow ID,Flow Name,Mean Temp (K),R Scale Factor,Data Arrival (ps),Setup Slack (ps),Delay Shift (ps),Elapsed Time (s),Thermal SPEF Output
archgen_ip1,IP1: Dual-Core RV64 Rocket SoC (DualRocketConfig),flow1_baseline,1. Baseline (No Thermal),298.15,1.000000,123335.90,-126998.40,0.0 ps,0.158,archive/design_inputs/archgen_ip1/baseline.spef
archgen_ip1,IP1: Dual-Core RV64 Rocket SoC (DualRocketConfig),flow2_pact_superlu,2. PACT (SuperLU Solver),750.77,2.900993,181137.10,-190497.00,+57801.2 ps,1.346,archive/outputs/archgen_ip1_flow2_pact_superlu/adjusted.spef
archgen_ip1,IP1: Dual-Core RV64 Rocket SoC (DualRocketConfig),flow3_pact_xyce,3. PACT (Xyce SPICE Fallback),750.77,2.900993,181137.10,-190497.00,+57801.2 ps,0.156,archive/outputs/archgen_ip1_flow3_pact_xyce/adjusted.spef
archgen_ip1,IP1: Dual-Core RV64 Rocket SoC (DualRocketConfig),flow4_thermfm_run1,4. Therm-FM (Custom Run 1),313.76,1.065545,124995.80,-128718.80,+1659.9 ps,0.177,archive/outputs/archgen_ip1_flow4_thermfm_run1/adjusted.spef
archgen_ip1,IP1: Dual-Core RV64 Rocket SoC (DualRocketConfig),flow5_thermfm_run2,5. Therm-FM (Custom Run 2),313.95,1.066350,125016.30,-128740.10,+1680.4 ps,0.171,archive/outputs/archgen_ip1_flow5_thermfm_run2/adjusted.spef
archgen_ip1,IP1: Dual-Core RV64 Rocket SoC (DualRocketConfig),flow6_thermfm_released,6. Therm-FM (Released Model),313.76,1.065545,124995.80,-128718.80,+1659.9 ps,0.156,archive/outputs/archgen_ip1_flow6_thermfm_released/adjusted.spef
archgen_ip2,IP2: Dual-Core RV64 Rocket SoC + 8-Point FFT,flow1_baseline,1. Baseline (No Thermal),298.15,1.000000,123335.90,-126998.40,0.0 ps,0.158,archive/design_inputs/archgen_ip2/baseline.spef
archgen_ip2,IP2: Dual-Core RV64 Rocket SoC + 8-Point FFT,flow2_pact_superlu,2. PACT (SuperLU Solver),742.47,2.866131,180087.10,-189368.80,+56751.2 ps,1.323,archive/outputs/archgen_ip2_flow2_pact_superlu/adjusted.spef
archgen_ip2,IP2: Dual-Core RV64 Rocket SoC + 8-Point FFT,flow3_pact_xyce,3. PACT (Xyce SPICE Fallback),742.47,2.866131,180087.10,-189368.80,+56751.2 ps,0.155,archive/outputs/archgen_ip2_flow3_pact_xyce/adjusted.spef
archgen_ip2,IP2: Dual-Core RV64 Rocket SoC + 8-Point FFT,flow4_thermfm_run1,4. Therm-FM (Custom Run 1),313.86,1.065999,125007.30,-128730.80,+1671.4 ps,0.172,archive/outputs/archgen_ip2_flow4_thermfm_run1/adjusted.spef
archgen_ip2,IP2: Dual-Core RV64 Rocket SoC + 8-Point FFT,flow5_thermfm_run2,5. Therm-FM (Custom Run 2),313.92,1.066249,125013.70,-128737.40,+1677.8 ps,0.173,archive/outputs/archgen_ip2_flow5_thermfm_run2/adjusted.spef
archgen_ip2,IP2: Dual-Core RV64 Rocket SoC + 8-Point FFT,flow6_thermfm_released,6. Therm-FM (Released Model),313.86,1.065999,125007.30,-128730.80,+1671.4 ps,0.157,archive/outputs/archgen_ip2_flow6_thermfm_released/adjusted.spef
archgen_ip3,IP3: Dual-Core RV64 Rocket SoC + NVDLA INT8,flow1_baseline,1. Baseline (No Thermal),298.15,1.000000,123335.90,-126998.40,0.0 ps,0.158,archive/design_inputs/archgen_ip3/baseline.spef
archgen_ip3,IP3: Dual-Core RV64 Rocket SoC + NVDLA INT8,flow2_pact_superlu,2. PACT (SuperLU Solver),724.40,2.790256,177802.00,-186913.70,+54466.1 ps,1.322,archive/outputs/archgen_ip3_flow2_pact_superlu/adjusted.spef
archgen_ip3,IP3: Dual-Core RV64 Rocket SoC + NVDLA INT8,flow3_pact_xyce,3. PACT (Xyce SPICE Fallback),724.40,2.790256,177802.00,-186913.70,+54466.1 ps,0.156,archive/outputs/archgen_ip3_flow3_pact_xyce/adjusted.spef
archgen_ip3,IP3: Dual-Core RV64 Rocket SoC + NVDLA INT8,flow4_thermfm_run1,4. Therm-FM (Custom Run 1),313.84,1.065898,125004.80,-128728.10,+1668.9 ps,0.173,archive/outputs/archgen_ip3_flow4_thermfm_run1/adjusted.spef
archgen_ip3,IP3: Dual-Core RV64 Rocket SoC + NVDLA INT8,flow5_thermfm_run2,5. Therm-FM (Custom Run 2),313.96,1.066400,125017.50,-128741.40,+1681.6 ps,0.172,archive/outputs/archgen_ip3_flow5_thermfm_run2/adjusted.spef
archgen_ip3,IP3: Dual-Core RV64 Rocket SoC + NVDLA INT8,flow6_thermfm_released,6. Therm-FM (Released Model),313.84,1.065898,125004.80,-128728.10,+1668.9 ps,0.159,archive/outputs/archgen_ip3_flow6_thermfm_released/adjusted.spef
