test	suite	result	exit_status	wall_seconds	cycles	log	tohost_exit	campaign
chipyard-cpp-hello	chipyard-generic	PASS	0	70.67		cpp-retry/chipyard-cpp-hello/simulation.log		cpp-retry
chipyard-hello	chipyard-generic	PASS	0	11.036		smoke-run/chipyard-hello/simulation.log		smoke-run
chipyard-mt-hello-dual	chipyard-generic	PASS	0	18.087		smoke-run/chipyard-mt-hello-dual/simulation.log		smoke-run
corrected-legacy-ae_matmul-dual	corrected-mt-supplement	PASS	0	35.493		corrected-run/corrected-legacy-ae_matmul-dual/simulation.log		corrected-run
corrected-legacy-vvadd1-dual	corrected-mt-supplement	PASS	0	84.22		corrected-run/corrected-legacy-vvadd1-dual/simulation.log		corrected-run
corrected-mt-matmul-dual	corrected-mt-supplement	PASS	0	32.627		corrected-run/corrected-mt-matmul-dual/simulation.log		corrected-run
dhrystone	benchmark-configured	PASS	0	148.431		bench-run/dhrystone/simulation.log		bench-run
dual-hart-smoke	dual-hart-smoke	PASS	0	8.977		smoke-run/dual-hart-smoke/simulation.log		smoke-run
legacy-ad_matmul-dual	legacy-mt	WALL_TIMEOUT	0	600.019		bench-run/legacy-ad_matmul-dual/simulation.log		bench-run
legacy-ae_matmul-dual	legacy-mt	PASS	0	18.2		bench-run/legacy-ae_matmul-dual/simulation.log		bench-run
legacy-af_matmul-dual	legacy-mt	FAIL	255	12.936		bench-run/legacy-af_matmul-dual/simulation.log	17	bench-run
legacy-ag_matmul-dual	legacy-mt	PASS	0	16.908		bench-run/legacy-ag_matmul-dual/simulation.log		bench-run
legacy-ai_matmul-dual	legacy-mt	PASS	0	13.234		bench-run/legacy-ai_matmul-dual/simulation.log		bench-run
legacy-ak_matmul-dual	legacy-mt	PASS	0	21.517		bench-run/legacy-ak_matmul-dual/simulation.log		bench-run
legacy-al_matmul-dual	legacy-mt	FAIL	255	66.126		bench-run/legacy-al_matmul-dual/simulation.log	1	bench-run
legacy-am_matmul-dual	legacy-mt	FAIL	255	56.633		bench-run/legacy-am_matmul-dual/simulation.log	1	bench-run
legacy-an_matmul-dual	legacy-mt	PASS	0	26.345		bench-run/legacy-an_matmul-dual/simulation.log		bench-run
legacy-ap_matmul-dual	legacy-mt	PASS	0	18.754		bench-run/legacy-ap_matmul-dual/simulation.log		bench-run
legacy-aq_matmul-dual	legacy-mt	PASS	0	47.963		bench-run/legacy-aq_matmul-dual/simulation.log		bench-run
legacy-ar_matmul-dual	legacy-mt	PASS	0	19.669		bench-run/legacy-ar_matmul-dual/simulation.log		bench-run
legacy-at_matmul-dual	legacy-mt	FAIL	255	62.375		bench-run/legacy-at_matmul-dual/simulation.log	2	bench-run
legacy-av_matmul-dual	legacy-mt	FAIL	255	74.592		bench-run/legacy-av_matmul-dual/simulation.log	1	bench-run
legacy-ay_matmul-dual	legacy-mt	FAIL	255	65.888		bench-run/legacy-ay_matmul-dual/simulation.log	1	bench-run
legacy-az_matmul-dual	legacy-mt	FAIL	255	65.922		bench-run/legacy-az_matmul-dual/simulation.log	1	bench-run
legacy-bb_matmul-dual	legacy-mt	PASS	0	12.377		bench-run/legacy-bb_matmul-dual/simulation.log		bench-run
legacy-bc_matmul-dual	legacy-mt	PASS	0	33.85		bench-run/legacy-bc_matmul-dual/simulation.log		bench-run
legacy-bf_matmul-dual	legacy-mt	FAIL	255	66.471		bench-run/legacy-bf_matmul-dual/simulation.log	1	bench-run
legacy-bh_matmul-dual	legacy-mt	PASS	0	13.782		bench-run/legacy-bh_matmul-dual/simulation.log		bench-run
legacy-bj_matmul-dual	legacy-mt	PASS	0	13.791		bench-run/legacy-bj_matmul-dual/simulation.log		bench-run
legacy-bk_matmul-dual	legacy-mt	FAIL	255	64.861		bench-run/legacy-bk_matmul-dual/simulation.log	1	bench-run
legacy-bm_matmul-dual	legacy-mt	PASS	0	14.043		bench-run/legacy-bm_matmul-dual/simulation.log		bench-run
legacy-bo_matmul-dual	legacy-mt	FAIL	255	81.792		bench-run/legacy-bo_matmul-dual/simulation.log	1337	bench-run
legacy-br_matmul-dual	legacy-mt	FAIL	255	105.127		bench-run/legacy-br_matmul-dual/simulation.log	1	bench-run
