test	suite	comparison	rtl_result	spike_status	rtl_exit_status	spike_exit_code	rtl_tohost_exit	rtl_campaign	rtl_log	spike_log	binary	sha256	reference_elf_hash_evidence
chipyard-cpp-hello	chipyard-generic	PASS_AGREE	PASS	PASS	0	0		cpp-retry	cpp-retry/chipyard-cpp-hello/simulation.log	spike/benchmarks/logs/chipyard-cpp-hello.log	bench-build/bin/chipyard-cpp-hello.riscv	a2d23e5af0802c11d20408fe851d5414d65659375f3b95e0a1dc14d33d49d5ef	BUILD_HASH_ONLY
chipyard-hello	chipyard-generic	PASS_AGREE	PASS	PASS	0	0		smoke-run	smoke-run/chipyard-hello/simulation.log	spike/benchmarks/logs/chipyard-hello.log	bench-build/bin/chipyard-hello.riscv	2ccf4810d8538b0efbe76e950b31ddd44595b300d339b57c85c03148b105c6b1	BUILD_HASH_ONLY
chipyard-mt-hello-dual	chipyard-generic	PASS_AGREE	PASS	PASS	0	0		smoke-run	smoke-run/chipyard-mt-hello-dual/simulation.log	spike/benchmarks/logs/chipyard-mt-hello-dual.log	bench-build/bin/chipyard-mt-hello-dual.riscv	9288854cb5377802107a46d7c3813c63c3e2ad6b3bd6695e04260c5eac97e0dd	BUILD_HASH_ONLY
corrected-legacy-ae_matmul-dual	corrected-mt-supplement	PASS_AGREE	PASS	PASS	0	0		corrected-run	corrected-run/corrected-legacy-ae_matmul-dual/simulation.log	spike/corrected/logs/corrected-legacy-ae_matmul-dual.log	bench-build/corrected/bin/corrected-legacy-ae_matmul-dual.riscv	b9532674f6ff59a16200e281ad26ea39c6f3844ede39bc0c01ac616beccc1baf	SPIKE_RUN_HASH
corrected-legacy-vvadd1-dual	corrected-mt-supplement	PASS_AGREE	PASS	PASS	0	0		corrected-run	corrected-run/corrected-legacy-vvadd1-dual/simulation.log	spike/corrected/logs/corrected-legacy-vvadd1-dual.log	bench-build/corrected/bin/corrected-legacy-vvadd1-dual.riscv	f201e95549797a843f04c83c74ccead9e4e29275eb532f18a6059d47bcc085b6	SPIKE_RUN_HASH
corrected-mt-matmul-dual	corrected-mt-supplement	PASS_AGREE	PASS	PASS	0	0		corrected-run	corrected-run/corrected-mt-matmul-dual/simulation.log	spike/corrected/logs/corrected-mt-matmul-dual.log	bench-build/corrected/bin/corrected-mt-matmul-dual.riscv	b2b55ca5d01d40ca8748beafdf45b48e509592c6abeab28444d82e98536998d6	SPIKE_RUN_HASH
dhrystone	benchmark-configured	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/dhrystone/simulation.log	spike/benchmarks/logs/dhrystone.log	bench-build/bin/dhrystone.riscv	ce10fbf16240c98157b763cf25813de4b787770fb5e35dc24196e0fa76b4db7a	BUILD_HASH_ONLY
dual-hart-smoke	dual-hart-smoke	PASS_AGREE	PASS	PASS	0	0		smoke-run	smoke-run/dual-hart-smoke/simulation.log	spike/benchmarks/logs/dual-hart-smoke.log	../simulation/bin/dual-hart-smoke.riscv	cd22c8ba909c881612cc04271176090da52694f1ffe94c1fc67d56f2d7df3b16	BUILD_HASH_ONLY
legacy-ad_matmul-dual	legacy-mt	NONPASS_AGREE	WALL_TIMEOUT	NONZERO	0	1		bench-run	bench-run/legacy-ad_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ad_matmul-dual.log	bench-build/bin/legacy-ad_matmul-dual.riscv	61386d7d860dda41b5cc5e3a514be5a2904991bf57095b9fce6e203f25d03b12	BUILD_HASH_ONLY
legacy-ae_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-ae_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ae_matmul-dual.log	bench-build/bin/legacy-ae_matmul-dual.riscv	0e21016fb334f0fcfda5f60d8bcab5c7bd9a1f7d9e606dadf8e9eeff7fb1baf6	BUILD_HASH_ONLY
legacy-af_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	17	17	bench-run	bench-run/legacy-af_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-af_matmul-dual.log	bench-build/bin/legacy-af_matmul-dual.riscv	774a407c849f91b75d0069b65853ef8cf9d10b8170442ceaf42a0a4157529b16	BUILD_HASH_ONLY
legacy-ag_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-ag_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ag_matmul-dual.log	bench-build/bin/legacy-ag_matmul-dual.riscv	c0b1d90cddab3feb85c1b876ddf4954c9bf96a45895a21d6b843f1ac12980917	BUILD_HASH_ONLY
legacy-ai_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-ai_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ai_matmul-dual.log	bench-build/bin/legacy-ai_matmul-dual.riscv	152979bd279dfd2cac8c98b0d589de09d39f605f8322f100a35b64c59332a1db	BUILD_HASH_ONLY
legacy-ak_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-ak_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ak_matmul-dual.log	bench-build/bin/legacy-ak_matmul-dual.riscv	045731bc0b500def2fca10a5ca174714152e9c343dbc808135591879a474709e	BUILD_HASH_ONLY
legacy-al_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-al_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-al_matmul-dual.log	bench-build/bin/legacy-al_matmul-dual.riscv	3ef67da7a98efaacad0d7a6e5b798dcf84b12d58b6e68cb47c447a4c2884c643	BUILD_HASH_ONLY
legacy-am_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-am_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-am_matmul-dual.log	bench-build/bin/legacy-am_matmul-dual.riscv	8ed52bcdac2f8b8a85fc4d28fc9b6c113bb4bb8f5a53815e6d89dc311ff28362	BUILD_HASH_ONLY
legacy-an_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-an_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-an_matmul-dual.log	bench-build/bin/legacy-an_matmul-dual.riscv	6cc4f88f4d10f67d9ec0e028330d5eecf2e9a2d48e9a00506d4292fa6ae4ac2e	BUILD_HASH_ONLY
legacy-ap_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-ap_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ap_matmul-dual.log	bench-build/bin/legacy-ap_matmul-dual.riscv	f48318b75b1f43325faca3554f6b72eb5c9fc45ceed81fac785cb69d8599d76b	BUILD_HASH_ONLY
legacy-aq_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-aq_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-aq_matmul-dual.log	bench-build/bin/legacy-aq_matmul-dual.riscv	4472f111cc170457a94b7557e908c243189ef7c689041ff63576756529a8bc1a	BUILD_HASH_ONLY
legacy-ar_matmul-dual	legacy-mt	PASS_AGREE	PASS	PASS	0	0		bench-run	bench-run/legacy-ar_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ar_matmul-dual.log	bench-build/bin/legacy-ar_matmul-dual.riscv	c94d366a8e9b1bafebbb2985d4bcbc9847862877d0a8b09fa79ba1ee4284401d	BUILD_HASH_ONLY
legacy-at_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	2	2	bench-run	bench-run/legacy-at_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-at_matmul-dual.log	bench-build/bin/legacy-at_matmul-dual.riscv	0695a1ba2670982aac5b9b1c5214cfa526e9c324f57a8e298f742f27048aea9e	BUILD_HASH_ONLY
legacy-av_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-av_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-av_matmul-dual.log	bench-build/bin/legacy-av_matmul-dual.riscv	8aaa3abdd7fca22ccd2eb243e1b58de3eebd73cd618d39a5e915ed0cb734b438	BUILD_HASH_ONLY
legacy-ay_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-ay_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-ay_matmul-dual.log	bench-build/bin/legacy-ay_matmul-dual.riscv	2c9357d4b398a1c030787137ebcbbebf090c64a23ad170aefecc9da115cecf55	BUILD_HASH_ONLY
legacy-az_matmul-dual	legacy-mt	NONPASS_AGREE	FAIL	NONZERO	255	1	1	bench-run	bench-run/legacy-az_matmul-dual/simulation.log	spike/benchmarks/logs/legacy-az_matmul-dual.log	bench-build/bin/legacy-az_matmul-dual.riscv	00609d171a217198b31b6260f3ffa071195d0737ea6c0292432aacac9f9a4340	BUILD_HASH_ONLY
