test	suite	result	exit_status	wall_seconds	cycles	log	campaign
chipyard-cpp-hello	chipyard-generic	PASS	0	54.637		campaigns/cpu-bench/chipyard-cpp-hello/simulation.log	cpu-bench
chipyard-hello	chipyard-generic	PASS	0	9.272		campaigns/cpu-bench/chipyard-hello/simulation.log	cpu-bench
chipyard-mt-hello-dual	chipyard-generic	PASS	0	14.848		campaigns/cpu-bench/chipyard-mt-hello-dual/simulation.log	cpu-bench
corrected-legacy-ae_matmul-dual	corrected-mt-supplement	PASS	0	28.271		campaigns/cpu-bench/corrected-legacy-ae_matmul-dual/simulation.log	cpu-bench
corrected-legacy-vvadd1-dual	corrected-mt-supplement	PASS	0	66.287		campaigns/cpu-bench/corrected-legacy-vvadd1-dual/simulation.log	cpu-bench
corrected-mt-matmul-dual	corrected-mt-supplement	PASS	0	26.008		campaigns/cpu-bench/corrected-mt-matmul-dual/simulation.log	cpu-bench
dhrystone	benchmark-configured	PASS	0	135.69		campaigns/cpu-bench/dhrystone/simulation.log	cpu-bench
dual-hart-smoke	dual-hart-smoke	PASS	0	6.701		campaigns/cpu-bench/dual-hart-smoke/simulation.log	cpu-bench
legacy-ad_matmul-dual	legacy-mt	CYCLE_TIMEOUT	255	531.131	2000001	campaigns/cpu-bench/legacy-ad_matmul-dual/simulation.log	cpu-bench
legacy-ae_matmul-dual	legacy-mt	PASS	0	19.934		campaigns/cpu-bench/legacy-ae_matmul-dual/simulation.log	cpu-bench
legacy-af_matmul-dual	legacy-mt	FAIL	255	13.645		campaigns/cpu-bench/legacy-af_matmul-dual/simulation.log	cpu-bench
legacy-ag_matmul-dual	legacy-mt	PASS	0	17.372		campaigns/cpu-bench/legacy-ag_matmul-dual/simulation.log	cpu-bench
legacy-ai_matmul-dual	legacy-mt	PASS	0	14.0		campaigns/cpu-bench/legacy-ai_matmul-dual/simulation.log	cpu-bench
legacy-ak_matmul-dual	legacy-mt	PASS	0	22.901		campaigns/cpu-bench/legacy-ak_matmul-dual/simulation.log	cpu-bench
legacy-al_matmul-dual	legacy-mt	FAIL	255	68.746		campaigns/cpu-bench/legacy-al_matmul-dual/simulation.log	cpu-bench
legacy-am_matmul-dual	legacy-mt	FAIL	255	58.528		campaigns/cpu-bench/legacy-am_matmul-dual/simulation.log	cpu-bench
legacy-an_matmul-dual	legacy-mt	PASS	0	26.16		campaigns/cpu-bench/legacy-an_matmul-dual/simulation.log	cpu-bench
legacy-ap_matmul-dual	legacy-mt	PASS	0	19.323		campaigns/cpu-bench/legacy-ap_matmul-dual/simulation.log	cpu-bench
legacy-aq_matmul-dual	legacy-mt	PASS	0	48.219		campaigns/cpu-bench/legacy-aq_matmul-dual/simulation.log	cpu-bench
legacy-ar_matmul-dual	legacy-mt	PASS	0	19.571		campaigns/cpu-bench/legacy-ar_matmul-dual/simulation.log	cpu-bench
legacy-at_matmul-dual	legacy-mt	FAIL	255	64.269		campaigns/cpu-bench/legacy-at_matmul-dual/simulation.log	cpu-bench
legacy-av_matmul-dual	legacy-mt	FAIL	255	76.728		campaigns/cpu-bench/legacy-av_matmul-dual/simulation.log	cpu-bench
legacy-ay_matmul-dual	legacy-mt	FAIL	255	68.187		campaigns/cpu-bench/legacy-ay_matmul-dual/simulation.log	cpu-bench
legacy-az_matmul-dual	legacy-mt	FAIL	255	68.341		campaigns/cpu-bench/legacy-az_matmul-dual/simulation.log	cpu-bench
legacy-bb_matmul-dual	legacy-mt	PASS	0	12.581		campaigns/cpu-bench/legacy-bb_matmul-dual/simulation.log	cpu-bench
legacy-bc_matmul-dual	legacy-mt	PASS	0	32.137		campaigns/cpu-bench/legacy-bc_matmul-dual/simulation.log	cpu-bench
legacy-bf_matmul-dual	legacy-mt	FAIL	255	66.765		campaigns/cpu-bench/legacy-bf_matmul-dual/simulation.log	cpu-bench
legacy-bh_matmul-dual	legacy-mt	PASS	0	14.296		campaigns/cpu-bench/legacy-bh_matmul-dual/simulation.log	cpu-bench
legacy-bj_matmul-dual	legacy-mt	PASS	0	14.138		campaigns/cpu-bench/legacy-bj_matmul-dual/simulation.log	cpu-bench
legacy-bk_matmul-dual	legacy-mt	FAIL	255	65.059		campaigns/cpu-bench/legacy-bk_matmul-dual/simulation.log	cpu-bench
legacy-bm_matmul-dual	legacy-mt	PASS	0	13.994		campaigns/cpu-bench/legacy-bm_matmul-dual/simulation.log	cpu-bench
legacy-bo_matmul-dual	legacy-mt	FAIL	255	83.678		campaigns/cpu-bench/legacy-bo_matmul-dual/simulation.log	cpu-bench
legacy-br_matmul-dual	legacy-mt	FAIL	255	107.844		campaigns/cpu-bench/legacy-br_matmul-dual/simulation.log	cpu-bench
legacy-bs_matmul-dual	legacy-mt	PASS	0	30.939		campaigns/cpu-bench/legacy-bs_matmul-dual/simulation.log	cpu-bench
legacy-ce_matmul-dual	legacy-mt	PASS	0	27.406		campaigns/cpu-bench/legacy-ce_matmul-dual/simulation.log	cpu-bench
legacy-cf_matmul-dual	legacy-mt	FAIL	255	448.056		campaigns/cpu-bench/legacy-cf_matmul-dual/simulation.log	cpu-bench
legacy-cg_matmul-dual	legacy-mt	PASS	0	16.656		campaigns/cpu-bench/legacy-cg_matmul-dual/simulation.log	cpu-bench
legacy-ci_matmul-dual	legacy-mt	PASS	0	14.189		campaigns/cpu-bench/legacy-ci_matmul-dual/simulation.log	cpu-bench
legacy-ck_matmul-dual	legacy-mt	PASS	0	22.298		campaigns/cpu-bench/legacy-ck_matmul-dual/simulation.log	cpu-bench
legacy-cl_matmul-dual	legacy-mt	FAIL	255	142.014		campaigns/cpu-bench/legacy-cl_matmul-dual/simulation.log	cpu-bench
legacy-cm_matmul-dual	legacy-mt	FAIL	255	71.233		campaigns/cpu-bench/legacy-cm_matmul-dual/simulation.log	cpu-bench
legacy-cs_matmul-dual	legacy-mt	PASS	0	20.68		campaigns/cpu-bench/legacy-cs_matmul-dual/simulation.log	cpu-bench
legacy-cv_matmul-dual	legacy-mt	FAIL	255	158.266		campaigns/cpu-bench/legacy-cv_matmul-dual/simulation.log	cpu-bench
legacy-cy_matmul-dual	legacy-mt	FAIL	255	68.926		campaigns/cpu-bench/legacy-cy_matmul-dual/simulation.log	cpu-bench
legacy-dc_matmul-dual	legacy-mt	PASS	0	34.203		campaigns/cpu-bench/legacy-dc_matmul-dual/simulation.log	cpu-bench
legacy-df_matmul-dual	legacy-mt	FAIL	255	119.545		campaigns/cpu-bench/legacy-df_matmul-dual/simulation.log	cpu-bench
legacy-dm_matmul-dual	legacy-mt	PASS	0	14.996		campaigns/cpu-bench/legacy-dm_matmul-dual/simulation.log	cpu-bench
legacy-do_matmul-dual	legacy-mt	FAIL	255	107.471		campaigns/cpu-bench/legacy-do_matmul-dual/simulation.log	cpu-bench
legacy-dr_matmul-dual	legacy-mt	FAIL	255	114.283		campaigns/cpu-bench/legacy-dr_matmul-dual/simulation.log	cpu-bench
legacy-ds_matmul-dual	legacy-mt	PASS	0	16.858		campaigns/cpu-bench/legacy-ds_matmul-dual/simulation.log	cpu-bench
legacy-du_matmul-dual	legacy-mt	FAIL	255	57.056		campaigns/cpu-bench/legacy-du_matmul-dual/simulation.log	cpu-bench
legacy-dv_matmul-dual	legacy-mt	CYCLE_TIMEOUT	255	432.385	2000001	campaigns/cpu-bench/legacy-dv_matmul-dual/simulation.log	cpu-bench
legacy-vvadd0-dual	legacy-mt	PASS	0	55.224		campaigns/cpu-bench/legacy-vvadd0-dual/simulation.log	cpu-bench
legacy-vvadd1-dual	legacy-mt	PASS	0	71.928		campaigns/cpu-bench/legacy-vvadd1-dual/simulation.log	cpu-bench
legacy-vvadd2-dual	legacy-mt	PASS	0	71.971		campaigns/cpu-bench/legacy-vvadd2-dual/simulation.log	cpu-bench
legacy-vvadd3-dual	legacy-mt	PASS	0	56.846		campaigns/cpu-bench/legacy-vvadd3-dual/simulation.log	cpu-bench
legacy-vvadd4-dual	legacy-mt	PASS	0	72.173		campaigns/cpu-bench/legacy-vvadd4-dual/simulation.log	cpu-bench
median	benchmark-configured	PASS	0	19.443		campaigns/cpu-bench/median/simulation.log	cpu-bench
memcpy	benchmark-extra	PASS	0	46.482		campaigns/cpu-bench/memcpy/simulation.log	cpu-bench
mm	benchmark-configured	PASS	0	201.376		campaigns/cpu-bench/mm/simulation.log	cpu-bench
mt-matmul	benchmark-configured	PASS	0	38.134		campaigns/cpu-bench/mt-matmul/simulation.log	cpu-bench
mt-matmul-dual	benchmark-dual	PASS	0	17.112		campaigns/cpu-bench/mt-matmul-dual/simulation.log	cpu-bench
mt-memcpy	benchmark-extra	PASS	0	144.407		campaigns/cpu-bench/mt-memcpy/simulation.log	cpu-bench
mt-memcpy-dual	benchmark-dual	PASS	0	102.487		campaigns/cpu-bench/mt-memcpy-dual/simulation.log	cpu-bench
mt-vvadd	benchmark-configured	PASS	0	67.612		campaigns/cpu-bench/mt-vvadd/simulation.log	cpu-bench
mt-vvadd-dual	benchmark-dual	PASS	0	74.003		campaigns/cpu-bench/mt-vvadd-dual/simulation.log	cpu-bench
multiply	benchmark-configured	PASS	0	40.118		campaigns/cpu-bench/multiply/simulation.log	cpu-bench
pmp	benchmark-configured	PASS	0	1013.445		campaigns/cpu-pmp/pmp/simulation.log	cpu-pmp
qsort	benchmark-configured	PASS	0	197.24		campaigns/cpu-bench/qsort/simulation.log	cpu-bench
rsort	benchmark-configured	PASS	0	248.319		campaigns/cpu-bench/rsort/simulation.log	cpu-bench
