test	suite	result	exit_status	wall_seconds	cycles	log
median	benchmark-configured	PASS	0	19.443		${CAMPAIGN_ROOT}/cpu-bench/median/simulation.log
towers	benchmark-configured	PASS	0	14.674		${CAMPAIGN_ROOT}/cpu-bench/towers/simulation.log
vvadd	benchmark-configured	PASS	0	14.559		${CAMPAIGN_ROOT}/cpu-bench/vvadd/simulation.log
memcpy	benchmark-extra	PASS	0	46.482		${CAMPAIGN_ROOT}/cpu-bench/memcpy/simulation.log
multiply	benchmark-configured	PASS	0	40.118		${CAMPAIGN_ROOT}/cpu-bench/multiply/simulation.log
qsort	benchmark-configured	PASS	0	197.24		${CAMPAIGN_ROOT}/cpu-bench/qsort/simulation.log
rsort	benchmark-configured	PASS	0	248.319		${CAMPAIGN_ROOT}/cpu-bench/rsort/simulation.log
spmv	benchmark-configured	PASS	0	74.43		${CAMPAIGN_ROOT}/cpu-bench/spmv/simulation.log
dhrystone	benchmark-configured	PASS	0	135.69		${CAMPAIGN_ROOT}/cpu-bench/dhrystone/simulation.log
mm	benchmark-configured	PASS	0	201.376		${CAMPAIGN_ROOT}/cpu-bench/mm/simulation.log
mt-matmul	benchmark-configured	PASS	0	38.134		${CAMPAIGN_ROOT}/cpu-bench/mt-matmul/simulation.log
mt-vvadd	benchmark-configured	PASS	0	67.612		${CAMPAIGN_ROOT}/cpu-bench/mt-vvadd/simulation.log
mt-matmul-dual	benchmark-dual	PASS	0	17.112		${CAMPAIGN_ROOT}/cpu-bench/mt-matmul-dual/simulation.log
mt-vvadd-dual	benchmark-dual	PASS	0	74.003		${CAMPAIGN_ROOT}/cpu-bench/mt-vvadd-dual/simulation.log
mt-memcpy	benchmark-extra	PASS	0	144.407		${CAMPAIGN_ROOT}/cpu-bench/mt-memcpy/simulation.log
legacy-vvadd0-dual	legacy-mt	PASS	0	55.224		${CAMPAIGN_ROOT}/cpu-bench/legacy-vvadd0-dual/simulation.log
mt-memcpy-dual	benchmark-dual	PASS	0	102.487		${CAMPAIGN_ROOT}/cpu-bench/mt-memcpy-dual/simulation.log
legacy-vvadd1-dual	legacy-mt	PASS	0	71.928		${CAMPAIGN_ROOT}/cpu-bench/legacy-vvadd1-dual/simulation.log
legacy-vvadd3-dual	legacy-mt	PASS	0	56.846		${CAMPAIGN_ROOT}/cpu-bench/legacy-vvadd3-dual/simulation.log
legacy-vvadd2-dual	legacy-mt	PASS	0	71.971		${CAMPAIGN_ROOT}/cpu-bench/legacy-vvadd2-dual/simulation.log
legacy-ae_matmul-dual	legacy-mt	PASS	0	19.934		${CAMPAIGN_ROOT}/cpu-bench/legacy-ae_matmul-dual/simulation.log
legacy-af_matmul-dual	legacy-mt	FAIL	255	13.645		${CAMPAIGN_ROOT}/cpu-bench/legacy-af_matmul-dual/simulation.log
legacy-ag_matmul-dual	legacy-mt	PASS	0	17.372		${CAMPAIGN_ROOT}/cpu-bench/legacy-ag_matmul-dual/simulation.log
legacy-vvadd4-dual	legacy-mt	PASS	0	72.173		${CAMPAIGN_ROOT}/cpu-bench/legacy-vvadd4-dual/simulation.log
legacy-ai_matmul-dual	legacy-mt	PASS	0	14.0		${CAMPAIGN_ROOT}/cpu-bench/legacy-ai_matmul-dual/simulation.log
legacy-ak_matmul-dual	legacy-mt	PASS	0	22.901		${CAMPAIGN_ROOT}/cpu-bench/legacy-ak_matmul-dual/simulation.log
legacy-al_matmul-dual	legacy-mt	FAIL	255	68.746		${CAMPAIGN_ROOT}/cpu-bench/legacy-al_matmul-dual/simulation.log
legacy-am_matmul-dual	legacy-mt	FAIL	255	58.528		${CAMPAIGN_ROOT}/cpu-bench/legacy-am_matmul-dual/simulation.log
legacy-ap_matmul-dual	legacy-mt	PASS	0	19.323		${CAMPAIGN_ROOT}/cpu-bench/legacy-ap_matmul-dual/simulation.log
legacy-an_matmul-dual	legacy-mt	PASS	0	26.16		${CAMPAIGN_ROOT}/cpu-bench/legacy-an_matmul-dual/simulation.log
legacy-ar_matmul-dual	legacy-mt	PASS	0	19.571		${CAMPAIGN_ROOT}/cpu-bench/legacy-ar_matmul-dual/simulation.log
legacy-aq_matmul-dual	legacy-mt	PASS	0	48.219		${CAMPAIGN_ROOT}/cpu-bench/legacy-aq_matmul-dual/simulation.log
legacy-at_matmul-dual	legacy-mt	FAIL	255	64.269		${CAMPAIGN_ROOT}/cpu-bench/legacy-at_matmul-dual/simulation.log
legacy-av_matmul-dual	legacy-mt	FAIL	255	76.728		${CAMPAIGN_ROOT}/cpu-bench/legacy-av_matmul-dual/simulation.log
legacy-ay_matmul-dual	legacy-mt	FAIL	255	68.187		${CAMPAIGN_ROOT}/cpu-bench/legacy-ay_matmul-dual/simulation.log
legacy-bb_matmul-dual	legacy-mt	PASS	0	12.581		${CAMPAIGN_ROOT}/cpu-bench/legacy-bb_matmul-dual/simulation.log
legacy-az_matmul-dual	legacy-mt	FAIL	255	68.341		${CAMPAIGN_ROOT}/cpu-bench/legacy-az_matmul-dual/simulation.log
legacy-bc_matmul-dual	legacy-mt	PASS	0	32.137		${CAMPAIGN_ROOT}/cpu-bench/legacy-bc_matmul-dual/simulation.log
legacy-bh_matmul-dual	legacy-mt	PASS	0	14.296		${CAMPAIGN_ROOT}/cpu-bench/legacy-bh_matmul-dual/simulation.log
legacy-bj_matmul-dual	legacy-mt	PASS	0	14.138		${CAMPAIGN_ROOT}/cpu-bench/legacy-bj_matmul-dual/simulation.log
legacy-bf_matmul-dual	legacy-mt	FAIL	255	66.765		${CAMPAIGN_ROOT}/cpu-bench/legacy-bf_matmul-dual/simulation.log
legacy-bm_matmul-dual	legacy-mt	PASS	0	13.994		${CAMPAIGN_ROOT}/cpu-bench/legacy-bm_matmul-dual/simulation.log
legacy-bk_matmul-dual	legacy-mt	FAIL	255	65.059		${CAMPAIGN_ROOT}/cpu-bench/legacy-bk_matmul-dual/simulation.log
legacy-bo_matmul-dual	legacy-mt	FAIL	255	83.678		${CAMPAIGN_ROOT}/cpu-bench/legacy-bo_matmul-dual/simulation.log
legacy-ad_matmul-dual	legacy-mt	CYCLE_TIMEOUT	255	531.131	2000001	${CAMPAIGN_ROOT}/cpu-bench/legacy-ad_matmul-dual/simulation.log
legacy-bs_matmul-dual	legacy-mt	PASS	0	30.939		${CAMPAIGN_ROOT}/cpu-bench/legacy-bs_matmul-dual/simulation.log
legacy-ce_matmul-dual	legacy-mt	PASS	0	27.406		${CAMPAIGN_ROOT}/cpu-bench/legacy-ce_matmul-dual/simulation.log
legacy-br_matmul-dual	legacy-mt	FAIL	255	107.844		${CAMPAIGN_ROOT}/cpu-bench/legacy-br_matmul-dual/simulation.log
legacy-cg_matmul-dual	legacy-mt	PASS	0	16.656		${CAMPAIGN_ROOT}/cpu-bench/legacy-cg_matmul-dual/simulation.log
legacy-ci_matmul-dual	legacy-mt	PASS	0	14.189		${CAMPAIGN_ROOT}/cpu-bench/legacy-ci_matmul-dual/simulation.log
legacy-ck_matmul-dual	legacy-mt	PASS	0	22.298		${CAMPAIGN_ROOT}/cpu-bench/legacy-ck_matmul-dual/simulation.log
legacy-cm_matmul-dual	legacy-mt	FAIL	255	71.233		${CAMPAIGN_ROOT}/cpu-bench/legacy-cm_matmul-dual/simulation.log
legacy-cs_matmul-dual	legacy-mt	PASS	0	20.68		${CAMPAIGN_ROOT}/cpu-bench/legacy-cs_matmul-dual/simulation.log
legacy-cl_matmul-dual	legacy-mt	FAIL	255	142.014		${CAMPAIGN_ROOT}/cpu-bench/legacy-cl_matmul-dual/simulation.log
legacy-cy_matmul-dual	legacy-mt	FAIL	255	68.926		${CAMPAIGN_ROOT}/cpu-bench/legacy-cy_matmul-dual/simulation.log
legacy-dc_matmul-dual	legacy-mt	PASS	0	34.203		${CAMPAIGN_ROOT}/cpu-bench/legacy-dc_matmul-dual/simulation.log
legacy-cv_matmul-dual	legacy-mt	FAIL	255	158.266		${CAMPAIGN_ROOT}/cpu-bench/legacy-cv_matmul-dual/simulation.log
legacy-dm_matmul-dual	legacy-mt	PASS	0	14.996		${CAMPAIGN_ROOT}/cpu-bench/legacy-dm_matmul-dual/simulation.log
legacy-df_matmul-dual	legacy-mt	FAIL	255	119.545		${CAMPAIGN_ROOT}/cpu-bench/legacy-df_matmul-dual/simulation.log
legacy-do_matmul-dual	legacy-mt	FAIL	255	107.471		${CAMPAIGN_ROOT}/cpu-bench/legacy-do_matmul-dual/simulation.log
legacy-ds_matmul-dual	legacy-mt	PASS	0	16.858		${CAMPAIGN_ROOT}/cpu-bench/legacy-ds_matmul-dual/simulation.log
legacy-cf_matmul-dual	legacy-mt	FAIL	255	448.056		${CAMPAIGN_ROOT}/cpu-bench/legacy-cf_matmul-dual/simulation.log
legacy-du_matmul-dual	legacy-mt	FAIL	255	57.056		${CAMPAIGN_ROOT}/cpu-bench/legacy-du_matmul-dual/simulation.log
chipyard-hello	chipyard-generic	PASS	0	9.272		${CAMPAIGN_ROOT}/cpu-bench/chipyard-hello/simulation.log
legacy-dr_matmul-dual	legacy-mt	FAIL	255	114.283		${CAMPAIGN_ROOT}/cpu-bench/legacy-dr_matmul-dual/simulation.log
chipyard-mt-hello-dual	chipyard-generic	PASS	0	14.848		${CAMPAIGN_ROOT}/cpu-bench/chipyard-mt-hello-dual/simulation.log
chipyard-cpp-hello	chipyard-generic	PASS	0	54.637		${CAMPAIGN_ROOT}/cpu-bench/chipyard-cpp-hello/simulation.log
corrected-mt-matmul-dual	corrected-mt-supplement	PASS	0	26.008		${CAMPAIGN_ROOT}/cpu-bench/corrected-mt-matmul-dual/simulation.log
corrected-legacy-vvadd1-dual	corrected-mt-supplement	PASS	0	66.287		${CAMPAIGN_ROOT}/cpu-bench/corrected-legacy-vvadd1-dual/simulation.log
dual-hart-smoke	dual-hart-smoke	PASS	0	6.701		${CAMPAIGN_ROOT}/cpu-bench/dual-hart-smoke/simulation.log
corrected-legacy-ae_matmul-dual	corrected-mt-supplement	PASS	0	28.271		${CAMPAIGN_ROOT}/cpu-bench/corrected-legacy-ae_matmul-dual/simulation.log
legacy-dv_matmul-dual	legacy-mt	CYCLE_TIMEOUT	255	432.385	2000001	${CAMPAIGN_ROOT}/cpu-bench/legacy-dv_matmul-dual/simulation.log
