test	suite	result	exit_status	wall_seconds	cycles	log
rv64mi-p-access	isa	PASS	0	3.086		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-access/simulation.log
rv64mi-p-breakpoint	isa	PASS	0	3.383		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-breakpoint/simulation.log
rv64mi-p-csr	isa	PASS	0	3.581		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-csr/simulation.log
rv64mi-p-illegal	isa	PASS	0	3.781		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-illegal/simulation.log
rv64mi-p-lh-misaligned	isa	PASS	0	2.885		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-lh-misaligned/simulation.log
rv64mi-p-ld-misaligned	isa	PASS	0	3.937		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-ld-misaligned/simulation.log
rv64mi-p-lw-misaligned	isa	PASS	0	2.979		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-lw-misaligned/simulation.log
rv64mi-p-ma_addr	isa	PASS	0	4.887		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-ma_addr/simulation.log
rv64mi-p-ma_fetch	isa	PASS	0	2.98		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-ma_fetch/simulation.log
rv64mi-p-mcsr	isa	PASS	0	2.878		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-mcsr/simulation.log
rv64mi-p-sbreak	isa	PASS	0	3.882		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sbreak/simulation.log
rv64mi-p-scall	isa	PASS	0	4.28		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-scall/simulation.log
rv64mi-p-sd-misaligned	isa	PASS	0	5.891		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sd-misaligned/simulation.log
rv64mi-p-sh-misaligned	isa	PASS	0	3.883		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sh-misaligned/simulation.log
rv64mi-p-zicntr	isa	PASS	0	2.926		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-zicntr/simulation.log
rv64mi-p-sw-misaligned	isa	PASS	0	4.387		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sw-misaligned/simulation.log
rv64mzicbo-p-zero	isa	FAIL	255	4.088		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64mzicbo-p-zero/simulation.log
rv64si-p-csr	isa	PASS	0	5.347		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64si-p-csr/simulation.log
rv64si-p-dirty	isa	PASS	0	5.402		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64si-p-dirty/simulation.log
rv64si-p-icache-alias	isa	PASS	0	6.001		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64si-p-icache-alias/simulation.log
rv64si-p-ma_fetch	isa	PASS	0	4.6		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64si-p-ma_fetch/simulation.log
rv64si-p-sbreak	isa	PASS	0	4.339		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64si-p-sbreak/simulation.log
rv64si-p-scall	isa	PASS	0	4.137		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64si-p-scall/simulation.log
rv64si-p-wfi	isa	PASS	0	4.546		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64si-p-wfi/simulation.log
rv64ssvnapot-p-napot	isa	PASS	0	5.907		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ssvnapot-p-napot/simulation.log
rv64ua-p-amoadd_d	isa	PASS	0	4.543		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoadd_d/simulation.log
rv64ua-p-amoadd_w	isa	PASS	0	4.188		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoadd_w/simulation.log
rv64ua-p-amoand_d	isa	PASS	0	4.192		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoand_d/simulation.log
rv64ua-p-amoand_w	isa	PASS	0	4.143		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoand_w/simulation.log
rv64ua-p-amomax_d	isa	PASS	0	4.343		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomax_d/simulation.log
rv64ua-p-amomax_w	isa	PASS	0	4.444		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomax_w/simulation.log
rv64ua-p-amomaxu_d	isa	PASS	0	4.141		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomaxu_d/simulation.log
rv64ua-p-amomaxu_w	isa	PASS	0	4.593		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomaxu_w/simulation.log
rv64ua-p-amomin_d	isa	PASS	0	4.445		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomin_d/simulation.log
rv64ua-p-amomin_w	isa	PASS	0	4.392		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomin_w/simulation.log
rv64ua-p-amominu_d	isa	PASS	0	4.444		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amominu_d/simulation.log
rv64ua-p-amominu_w	isa	PASS	0	4.244		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amominu_w/simulation.log
rv64ua-p-amoor_d	isa	PASS	0	4.09		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoor_d/simulation.log
rv64ua-p-amoor_w	isa	PASS	0	4.19		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoor_w/simulation.log
rv64ua-p-amoswap_d	isa	PASS	0	4.141		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoswap_d/simulation.log
rv64ua-p-amoswap_w	isa	PASS	0	4.24		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoswap_w/simulation.log
rv64ua-p-amoxor_d	isa	PASS	0	4.242		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoxor_d/simulation.log
rv64ua-p-amoxor_w	isa	PASS	0	4.19		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoxor_w/simulation.log
rv64ua-p-lrsc	isa	PASS	0	21.642		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-lrsc/simulation.log
rv64ua-v-amoadd_d	isa	PASS	0	58.996		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoadd_d/simulation.log
rv64ua-v-amoadd_w	isa	PASS	0	56.335		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoadd_w/simulation.log
rv64ua-v-amoand_d	isa	PASS	0	53.999		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoand_d/simulation.log
rv64ua-v-amoand_w	isa	PASS	0	56.222		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoand_w/simulation.log
rv64ua-v-amomax_d	isa	PASS	0	54.505		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomax_d/simulation.log
rv64ua-v-amomax_w	isa	PASS	0	57.263		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomax_w/simulation.log
rv64ua-v-amomaxu_d	isa	PASS	0	57.839		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomaxu_d/simulation.log
rv64ua-v-amomaxu_w	isa	PASS	0	62.658		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomaxu_w/simulation.log
rv64ua-v-amomin_d	isa	PASS	0	64.694		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomin_d/simulation.log
rv64ua-v-amomin_w	isa	PASS	0	64.594		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amomin_w/simulation.log
rv64ua-v-amominu_d	isa	PASS	0	60.622		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amominu_d/simulation.log
rv64ua-v-amominu_w	isa	PASS	0	57.384		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amominu_w/simulation.log
rv64ua-v-amoor_d	isa	PASS	0	55.271		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoor_d/simulation.log
rv64ua-v-amoor_w	isa	PASS	0	67.671		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoor_w/simulation.log
rv64ua-v-amoswap_d	isa	PASS	0	83.754		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoswap_d/simulation.log
rv64ua-v-amoswap_w	isa	PASS	0	70.436		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoswap_w/simulation.log
rv64ua-v-amoxor_d	isa	PASS	0	55.577		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoxor_d/simulation.log
rv64ua-v-amoxor_w	isa	PASS	0	54.523		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-amoxor_w/simulation.log
rv64uc-p-rvc	isa	PASS	0	5.346		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uc-p-rvc/simulation.log
rv64ua-v-lrsc	isa	PASS	0	75.577		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ua-v-lrsc/simulation.log
rv64ud-p-fadd	isa	PASS	0	6.658		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fadd/simulation.log
rv64ud-p-fclass	isa	PASS	0	6.058		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fclass/simulation.log
rv64ud-p-fcmp	isa	PASS	0	7.359		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fcmp/simulation.log
rv64ud-p-fcvt	isa	PASS	0	6.716		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fcvt/simulation.log
rv64ud-p-fcvt_w	isa	PASS	0	11.885		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fcvt_w/simulation.log
rv64ud-p-fdiv	isa	PASS	0	7.614		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fdiv/simulation.log
rv64uc-v-rvc	isa	PASS	0	99.355		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64uc-v-rvc/simulation.log
rv64ud-p-fmadd	isa	PASS	0	6.96		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fmadd/simulation.log
rv64ud-p-fmin	isa	PASS	0	8.119		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-fmin/simulation.log
rv64ud-p-ldst	isa	PASS	0	5.6		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-ldst/simulation.log
rv64ud-p-recoding	isa	PASS	0	6.308		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-recoding/simulation.log
rv64ud-p-structural	isa	PASS	0	7.672		${ORIGINAL_CAMPAIGN_ROOT}/cpu-isa/rv64ud-p-structural/simulation.log
