test	suite	result	exit_status	wall_seconds	cycles	log	campaign
rv64mi-p-access	isa	PASS	0	10.242		campaigns/cpu-isa/rv64mi-p-access/simulation.log	cpu-isa
rv64mi-p-breakpoint	isa	PASS	0	10.221		campaigns/cpu-isa/rv64mi-p-breakpoint/simulation.log	cpu-isa
rv64mi-p-csr	isa	PASS	0	9.936		campaigns/cpu-isa/rv64mi-p-csr/simulation.log	cpu-isa
rv64mi-p-illegal	isa	PASS	0	10.903		campaigns/cpu-isa/rv64mi-p-illegal/simulation.log	cpu-isa
rv64mi-p-lh-misaligned	isa	PASS	0	4.436		campaigns/cpu-isa/rv64mi-p-lh-misaligned/simulation.log	cpu-isa
rv64mi-p-ld-misaligned	isa	PASS	0	6.608		campaigns/cpu-isa/rv64mi-p-ld-misaligned/simulation.log	cpu-isa
rv64mi-p-lw-misaligned	isa	PASS	0	5.147		campaigns/cpu-isa/rv64mi-p-lw-misaligned/simulation.log	cpu-isa
rv64mi-p-ma_addr	isa	PASS	0	8.167		campaigns/cpu-isa/rv64mi-p-ma_addr/simulation.log	cpu-isa
rv64mi-p-ma_fetch	isa	PASS	0	5.197		campaigns/cpu-isa/rv64mi-p-ma_fetch/simulation.log	cpu-isa
rv64mi-p-mcsr	isa	PASS	0	4.897		campaigns/cpu-isa/rv64mi-p-mcsr/simulation.log	cpu-isa
rv64mi-p-sbreak	isa	PASS	0	5.302		campaigns/cpu-isa/rv64mi-p-sbreak/simulation.log	cpu-isa
rv64mi-p-scall	isa	PASS	0	5.004		campaigns/cpu-isa/rv64mi-p-scall/simulation.log	cpu-isa
rv64mi-p-sd-misaligned	isa	PASS	0	7.362		campaigns/cpu-isa/rv64mi-p-sd-misaligned/simulation.log	cpu-isa
rv64mi-p-sh-misaligned	isa	PASS	0	5.35		campaigns/cpu-isa/rv64mi-p-sh-misaligned/simulation.log	cpu-isa
rv64mi-p-sw-misaligned	isa	PASS	0	5.196		campaigns/cpu-isa/rv64mi-p-sw-misaligned/simulation.log	cpu-isa
rv64mi-p-zicntr	isa	PASS	0	4.85		campaigns/cpu-isa/rv64mi-p-zicntr/simulation.log	cpu-isa
rv64mzicbo-p-zero	isa	FAIL	255	4.547		campaigns/cpu-isa/rv64mzicbo-p-zero/simulation.log	cpu-isa
