test	baseline	current	suite
chipyard-cpp-hello	PASS	PASS	chipyard-generic
chipyard-hello	PASS	PASS	chipyard-generic
chipyard-mt-hello-dual	PASS	PASS	chipyard-generic
corrected-legacy-ae_matmul-dual	PASS	PASS	corrected-mt-supplement
corrected-legacy-vvadd1-dual	PASS	PASS	corrected-mt-supplement
corrected-mt-matmul-dual	PASS	PASS	corrected-mt-supplement
dhrystone	PASS	PASS	benchmark-configured
dual-hart-smoke	PASS	PASS	dual-hart-smoke
legacy-ad_matmul-dual	WALL_TIMEOUT	WALL_TIMEOUT	legacy-mt
legacy-ae_matmul-dual	PASS	PASS	legacy-mt
legacy-af_matmul-dual	FAIL	FAIL	legacy-mt
legacy-ag_matmul-dual	PASS	PASS	legacy-mt
legacy-ai_matmul-dual	PASS	PASS	legacy-mt
legacy-ak_matmul-dual	PASS	PASS	legacy-mt
legacy-al_matmul-dual	FAIL	FAIL	legacy-mt
legacy-am_matmul-dual	FAIL	FAIL	legacy-mt
legacy-an_matmul-dual	PASS	PASS	legacy-mt
legacy-ap_matmul-dual	PASS	PASS	legacy-mt
legacy-aq_matmul-dual	PASS	PASS	legacy-mt
legacy-ar_matmul-dual	PASS	PASS	legacy-mt
legacy-at_matmul-dual	FAIL	FAIL	legacy-mt
legacy-av_matmul-dual	FAIL	FAIL	legacy-mt
legacy-ay_matmul-dual	FAIL	FAIL	legacy-mt
legacy-az_matmul-dual	FAIL	FAIL	legacy-mt
legacy-bb_matmul-dual	PASS	PASS	legacy-mt
legacy-bc_matmul-dual	PASS	PASS	legacy-mt
legacy-bf_matmul-dual	FAIL	FAIL	legacy-mt
legacy-bh_matmul-dual	PASS	PASS	legacy-mt
legacy-bj_matmul-dual	PASS	PASS	legacy-mt
legacy-bk_matmul-dual	FAIL	FAIL	legacy-mt
legacy-bm_matmul-dual	PASS	PASS	legacy-mt
legacy-bo_matmul-dual	FAIL	FAIL	legacy-mt
legacy-br_matmul-dual	FAIL	FAIL	legacy-mt
legacy-bs_matmul-dual	PASS	PASS	legacy-mt
legacy-ce_matmul-dual	PASS	PASS	legacy-mt
legacy-cf_matmul-dual	FAIL	FAIL	legacy-mt
legacy-cg_matmul-dual	PASS	PASS	legacy-mt
legacy-ci_matmul-dual	PASS	PASS	legacy-mt
legacy-ck_matmul-dual	PASS	PASS	legacy-mt
legacy-cl_matmul-dual	FAIL	FAIL	legacy-mt
legacy-cm_matmul-dual	FAIL	FAIL	legacy-mt
legacy-cs_matmul-dual	PASS	PASS	legacy-mt
legacy-cv_matmul-dual	FAIL	FAIL	legacy-mt
legacy-cy_matmul-dual	FAIL	FAIL	legacy-mt
legacy-dc_matmul-dual	PASS	PASS	legacy-mt
legacy-df_matmul-dual	FAIL	FAIL	legacy-mt
legacy-dm_matmul-dual	PASS	PASS	legacy-mt
legacy-do_matmul-dual	FAIL	FAIL	legacy-mt
legacy-dr_matmul-dual	FAIL	FAIL	legacy-mt
legacy-ds_matmul-dual	PASS	PASS	legacy-mt
legacy-du_matmul-dual	FAIL	FAIL	legacy-mt
legacy-dv_matmul-dual	WALL_TIMEOUT	WALL_TIMEOUT	legacy-mt
legacy-vvadd0-dual	PASS	PASS	legacy-mt
legacy-vvadd1-dual	PASS	PASS	legacy-mt
legacy-vvadd2-dual	PASS	PASS	legacy-mt
legacy-vvadd3-dual	PASS	PASS	legacy-mt
legacy-vvadd4-dual	PASS	PASS	legacy-mt
median	PASS	PASS	benchmark-configured
memcpy	PASS	PASS	benchmark-extra
mm	PASS	PASS	benchmark-configured
mt-matmul	PASS	PASS	benchmark-configured
mt-matmul-dual	PASS	PASS	benchmark-dual
mt-memcpy	PASS	PASS	benchmark-extra
mt-memcpy-dual	PASS	PASS	benchmark-dual
mt-vvadd	PASS	PASS	benchmark-configured
mt-vvadd-dual	PASS	PASS	benchmark-dual
multiply	PASS	PASS	benchmark-configured
pmp	PASS	PASS	benchmark-configured
qsort	PASS	PASS	benchmark-configured
rsort	PASS	PASS	benchmark-configured
rv64mi-p-access	PASS	PASS	isa
rv64mi-p-breakpoint	PASS	PASS	isa
rv64mi-p-csr	PASS	PASS	isa
rv64mi-p-illegal	PASS	PASS	isa
rv64mi-p-ld-misaligned	PASS	PASS	isa
rv64mi-p-lh-misaligned	PASS	PASS	isa
rv64mi-p-lw-misaligned	PASS	PASS	isa
rv64mi-p-ma_addr	PASS	PASS	isa
rv64mi-p-ma_fetch	PASS	PASS	isa
rv64mi-p-mcsr	PASS	PASS	isa
rv64mi-p-sbreak	PASS	PASS	isa
rv64mi-p-scall	PASS	PASS	isa
rv64mi-p-sd-misaligned	PASS	PASS	isa
rv64mi-p-sh-misaligned	PASS	PASS	isa
rv64mi-p-sw-misaligned	PASS	PASS	isa
rv64mi-p-zicntr	PASS	PASS	isa
rv64mzicbo-p-zero	FAIL	FAIL	isa
rv64si-p-csr	PASS	PASS	isa
rv64si-p-dirty	PASS	PASS	isa
rv64si-p-icache-alias	PASS	PASS	isa
rv64si-p-ma_fetch	PASS	PASS	isa
rv64si-p-sbreak	PASS	PASS	isa
