test	suite	result	exit_status	wall_seconds	cycles	log
rv64mi-p-access	isa	PASS	0	10.242		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-access/simulation.log
rv64mi-p-breakpoint	isa	PASS	0	10.221		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-breakpoint/simulation.log
rv64mi-p-csr	isa	PASS	0	9.936		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-csr/simulation.log
rv64mi-p-illegal	isa	PASS	0	10.903		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-illegal/simulation.log
rv64mi-p-lh-misaligned	isa	PASS	0	4.436		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-lh-misaligned/simulation.log
rv64mi-p-ld-misaligned	isa	PASS	0	6.608		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-ld-misaligned/simulation.log
rv64mi-p-lw-misaligned	isa	PASS	0	5.147		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-lw-misaligned/simulation.log
rv64mi-p-ma_addr	isa	PASS	0	8.167		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-ma_addr/simulation.log
rv64mi-p-ma_fetch	isa	PASS	0	5.197		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-ma_fetch/simulation.log
rv64mi-p-mcsr	isa	PASS	0	4.897		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-mcsr/simulation.log
rv64mi-p-sbreak	isa	PASS	0	5.302		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sbreak/simulation.log
rv64mi-p-scall	isa	PASS	0	5.004		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-scall/simulation.log
rv64mi-p-sd-misaligned	isa	PASS	0	7.362		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sd-misaligned/simulation.log
rv64mi-p-sh-misaligned	isa	PASS	0	5.35		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sh-misaligned/simulation.log
rv64mi-p-sw-misaligned	isa	PASS	0	5.196		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-sw-misaligned/simulation.log
rv64mi-p-zicntr	isa	PASS	0	4.85		${CAMPAIGN_ROOT}/cpu-isa/rv64mi-p-zicntr/simulation.log
rv64mzicbo-p-zero	isa	FAIL	255	4.547		${CAMPAIGN_ROOT}/cpu-isa/rv64mzicbo-p-zero/simulation.log
rv64si-p-csr	isa	PASS	0	6.055		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-csr/simulation.log
rv64si-p-dirty	isa	PASS	0	6.053		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-dirty/simulation.log
rv64si-p-icache-alias	isa	PASS	0	6.858		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-icache-alias/simulation.log
rv64si-p-ma_fetch	isa	PASS	0	5.959		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-ma_fetch/simulation.log
rv64si-p-sbreak	isa	PASS	0	5.558		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-sbreak/simulation.log
rv64si-p-scall	isa	PASS	0	5.3		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-scall/simulation.log
rv64si-p-wfi	isa	PASS	0	4.945		${CAMPAIGN_ROOT}/cpu-isa/rv64si-p-wfi/simulation.log
rv64ssvnapot-p-napot	isa	PASS	0	6.002		${CAMPAIGN_ROOT}/cpu-isa/rv64ssvnapot-p-napot/simulation.log
rv64ua-p-amoadd_d	isa	PASS	0	5.353		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoadd_d/simulation.log
rv64ua-p-amoadd_w	isa	PASS	0	5.249		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoadd_w/simulation.log
rv64ua-p-amoand_d	isa	PASS	0	5.096		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoand_d/simulation.log
rv64ua-p-amoand_w	isa	PASS	0	4.895		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amoand_w/simulation.log
rv64ua-p-amomax_d	isa	PASS	0	4.896		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomax_d/simulation.log
rv64ua-p-amomax_w	isa	PASS	0	4.695		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomax_w/simulation.log
rv64ua-p-amomaxu_d	isa	PASS	0	4.547		${CAMPAIGN_ROOT}/cpu-isa/rv64ua-p-amomaxu_d/simulation.log
